Category,Item,Unit,Unit_Price_Low,Unit_Price_High,Supplier,Notes,Last_Updated
SHINGLES,3-Tab Asphalt (25yr),per_square,80,130,QXO/Beacon,Basic economy option,2025-11-01
SHINGLES,Architectural (30yr),per_square,100,180,QXO/Beacon,Standard dimensional shingles,2025-11-01
SHINGLES,Architectural Premium (50yr),per_square,180,250,QXO/Beacon,High-end dimensional with algae resistance,2025-11-01
SHINGLES,Designer/Luxury,per_square,250,400,QXO/Beacon,Premium appearance mimics slate/shake,2025-11-01
SHINGLES,GAF Timberline HD,per_square,110,165,QXO/Beacon,Popular mid-range architectural,2025-11-01
SHINGLES,Owens Corning Duration,per_square,115,170,QXO/Beacon,Popular mid-range architectural,2025-11-01
SHINGLES,CertainTeed Landmark,per_square,110,165,QXO/Beacon,Popular mid-range architectural,2025-11-01
UNDERLAYMENT,#15 Felt Paper,per_square,10,20,QXO/Beacon,Basic asphalt-saturated felt,2025-11-01
UNDERLAYMENT,#30 Felt Paper,per_square,15,30,QXO/Beacon,Heavier duty felt,2025-11-01
UNDERLAYMENT,Synthetic (Standard),per_square,40,80,QXO/Beacon,Water-resistant synthetic,2025-11-01
UNDERLAYMENT,Synthetic Premium,per_square,80,120,QXO/Beacon,High-performance synthetic like OC Pro Armor,2025-11-01
ICE_WATER_SHIELD,Standard Ice & Water,linear_foot,1.50,3.00,QXO/Beacon,36-inch width typical,2025-11-01
ICE_WATER_SHIELD,Premium Ice & Water,linear_foot,2.00,4.00,QXO/Beacon,Enhanced adhesion like OC WeatherLock,2025-11-01
METAL,Drip Edge Aluminum,linear_foot,0.50,1.00,QXO/Beacon,Standard profile,2025-11-01
METAL,Drip Edge Galvanized,linear_foot,0.60,1.20,QXO/Beacon,Corrosion resistant,2025-11-01
METAL,Drip Edge Copper,linear_foot,5.00,9.50,QXO/Beacon,Premium option,2025-11-01
METAL,Rake Edge Aluminum,linear_foot,0.50,1.00,QXO/Beacon,Gable end trim,2025-11-01
METAL,Valley Metal (Open),linear_foot,2.00,4.00,QXO/Beacon,26-gauge steel typical,2025-11-01
METAL,W-Valley Metal (Closed),linear_foot,2.50,5.00,QXO/Beacon,California-style valley,2025-11-01
METAL,Step Flashing,each,1.50,3.00,QXO/Beacon,Individual pieces 5x7 or 8x10,2025-11-01
METAL,Counter Flashing,linear_foot,3.00,6.00,QXO/Beacon,Chimney/wall flashing,2025-11-01
FASTENERS,Roofing Nails (1-1/4"),per_pound,2.50,4.00,QXO/Beacon,Electro-galvanized coil nails,2025-11-01
FASTENERS,Roofing Nails (1-1/2"),per_pound,2.50,4.00,QXO/Beacon,For thicker shingles,2025-11-01
FASTENERS,Cap Nails (Plastic),per_box_250,8.00,15.00,QXO/Beacon,For underlayment,2025-11-01
FASTENERS,Roofing Screws,per_pound,3.50,5.50,QXO/Beacon,For metal applications,2025-11-01
VENTILATION,Ridge Vent (Shingle-over),linear_foot,2.50,5.00,QXO/Beacon,Continuous ridge vent,2025-11-01VENTILATION,Box Vent (Broan style),each,15.00,35.00,QXO/Beacon,Static roof vent 50-60 sq in,2025-11-01
VENTILATION,Turbine Vent,each,25.00,60.00,QXO/Beacon,Wind-powered ventilation,2025-11-01
VENTILATION,Power Attic Vent,each,150.00,350.00,QXO/Beacon,Electric thermostat-controlled,2025-11-01
VENTILATION,Soffit Vent (Continuous),linear_foot,1.50,3.50,QXO/Beacon,Aluminum perforated,2025-11-01
PIPE_JACKS,Pipe Jack 1-inch,each,8.00,15.00,QXO/Beacon,Galvanized or aluminum base,2025-11-01
PIPE_JACKS,Pipe Jack 2-3 inch,each,10.00,18.00,QXO/Beacon,Standard plumbing vent size,2025-11-01
PIPE_JACKS,Pipe Jack 3-4 inch,each,12.00,22.00,QXO/Beacon,Larger diameter stack,2025-11-01
